index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_woo_min,int_woo_max,int_woo_mean,int_woo_median,ocu_woo_min,ocu_woo_max,ocu_woo_mean,ocu_woo_median,car_woo_min,car_woo_max,car_woo_mean,car_woo_median,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
171,176,0,3,1,1,1,2,1,1,20,1220,529.7368421052631,499,0,38,6.421052631578948,5,5,53,27.912280701754387,28,140,999,524.2156862745098,499,1,20,5.549019607843137,5,11,42,27.66,28,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
172,177,0,6,3,2,4,5,5,5,40,1640,547.5873015873016,380,0,33,3.984126984126984,2,4,40,22.428571428571427,21,120,1500,529.5769230769231,390,1,10,3.5833333333333335,2,11,37,22.574074074074073,21.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
173,178,0,3,2,2,2,2,2,2,0,485,141.23684210526315,80,0,5,0.5789473684210527,0,0,18,5.578947368421052,5,20,435,146.56666666666666,102,1,2,1.2222222222222223,1,1,14,5.933333333333334,5.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
174,179,0,2,1,1,1,1,1,1,0,606,169.6153846153846,152,0,41,4.030769230769231,2,0,52,14.246153846153845,12,4,440,166.18867924528303,160,1,10,3.076923076923077,3,1,41,13.666666666666666,12,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
175,180,0,4,2,2,1,3,2,2,0,1980,429.2857142857143,250,0,43,3.392857142857143,1.5,1,37,11.321428571428571,10,20,1620,343.3333333333333,250,1,9,3,2,2,30,10.565217391304348,10,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
176,181,0,1,1,1,999999,999999,999999,999999,0,2340,940,660,0,7,3.4,3,0,43,21.533333333333335,24,60,1980,1069.090909090909,1140,2,6,4.111111111111111,3,2,42,25.454545454545453,29,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
177,182,1,6,4,5,5,5,5,5,0,900,288.3333333333333,170,0,2,0.5,0,0,11,4.5,3,40,660,256,170,1,1,1,1,1,10,4.3,3,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
178,183,5,8,6,5,5,5,5,5,0,1620,310.90909090909093,210,0,47,3.712121212121212,2,0,60,12.090909090909092,10.5,60,900,282.22222222222223,240,1,8,3.122448979591837,3,2,30,11.814814814814815,11,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
179,184,0,1,0,0,999999,999999,999999,999999,0,820,256.06944444444446,130,0,36,2.986111111111111,2,2,42,21.48611111111111,22,40,620,265.8103448275862,140,1,8,2.3620689655172415,2,6,37,22.032258064516128,23,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
180,185,0,7,3,2,3,3,3,3,100,1520,600,420,1,10,3.7037037037037037,3,14,72,33.2962962962963,32,160,1260,572.1739130434783,420,2,7,4,4,15,58,31.869565217391305,32,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
